variant_group,scenario,peak_allocated_gib,peak_reserved_gib,kv_cache_gib_per_rank,graph_capture_delta_gib,retained_prefix_pages,retained_prefix_tokens,retained_memory_mib,swa_retained_mib,c4_retained_mib,c128_retained_mib,component_available_pages,component_live_full_pages
promoted_prefix,decode_ladder_bs16,41.466787338256836,42.1796875,2.3203861713409424,19.013671875,0,0,0.0,0.0,0.0,0.0,129,0
promoted_prefix,historical_4096_1024_bs4,44.30708026885986,45.8359375,2.3203861713409424,19.013671875,114,29184,2099.78759765625,1225.5,149.625,4.453125,15,12
promoted_prefix,historical_4096_128_bs4,44.307034492492676,45.8359375,2.3203861713409424,19.013671875,112,28672,2062.94921875,1204.0,147.0,4.375,17,7
promoted_prefix,prefix_eviction_pressure_96req_wave16,42.688979625701904,43.677734375,2.3203861713409424,19.013671875,112,28672,2062.94921875,1204.0,147.0,4.375,17,56
promoted_prefix,prefix_multi_112req_wave16,42.88531684875488,43.91796875,2.3203861713409424,19.013671875,16,4096,294.70703125,172.0,21.0,0.625,113,8
promoted_prefix,serving_mixed_112req_wave16,41.556206703186035,42.46484375,2.3203861713409424,19.013671875,14,3584,257.86865234375,150.5,18.375,0.546875,115,14
target07_control,decode_ladder_bs16,41.46676254272461,42.154296875,2.3203861713409424,19.013671875,0,0,0.0,0.0,0.0,0.0,,
target07_control,historical_4096_1024_bs4,44.304057598114014,46.45703125,2.3203861713409424,19.013671875,0,0,0.0,0.0,0.0,0.0,,
target07_control,historical_4096_128_bs4,44.30402898788452,46.45703125,2.3203861713409424,19.013671875,0,0,0.0,0.0,0.0,0.0,,
target07_control,prefix_eviction_pressure_96req_wave16,42.688512325286865,43.98046875,2.3203861713409424,19.013671875,0,0,0.0,0.0,0.0,0.0,,
target07_control,prefix_multi_112req_wave16,42.885005950927734,44.265625,2.3203861713409424,19.013671875,0,0,0.0,0.0,0.0,0.0,,
target07_control,serving_mixed_112req_wave16,41.5561318397522,42.4453125,2.3203861713409424,19.013671875,0,0,0.0,0.0,0.0,0.0,,
