run,variant_group,scenario,section,label,max_rank_total_ms,sum_rank_total_ms,count,captured_total_ms
profile_promoted_serving_mixed_112req_wave16,promoted_prefix,serving_mixed_112req_wave16,cuda,dsv4.owner.attn.wo_b.row_parallel_all_reduce,3351.604180533439,19535.624844979495,5848,13.351519990712404
profile_promoted_prefix_eviction_pressure_96req_wave16,promoted_prefix,prefix_eviction_pressure_96req_wave16,cuda,dsv4.owner.attn.wo_b.row_parallel_all_reduce,3336.2684242874384,20922.073119677603,5504,2.5524480119347572
profile_control_serving_mixed,target07_control,serving_mixed_112req_wave16,cuda,dsv4.owner.attn.wo_b.row_parallel_all_reduce,3200.1858982257545,17368.385058555752,5848,12.430464014410973
profile_promoted_prefix_multi_112req_wave16,promoted_prefix,prefix_multi_112req_wave16,cuda,dsv4.owner.attn.wo_b.row_parallel_all_reduce,3128.104578886181,20248.869124121964,5848,2.784415990114212
profile_promoted_decode_ladder_bs16,promoted_prefix,decode_ladder_bs16,cuda,dsv4.owner.attn.wo_b.row_parallel_all_reduce,3004.8750079702586,15986.418654624373,3784,11.80486398935318
profile_promoted_4096_128,promoted_prefix,historical_4096_128_bs4,cuda,dsv4.owner.attn.wo_b.row_parallel_all_reduce,2486.338684167713,16103.329719647765,3784,2.501024007797241
profile_promoted_prefix_eviction_pressure_96req_wave16,promoted_prefix,prefix_eviction_pressure_96req_wave16,cuda,dsv4.owner.comm.dsv4.embedding_all_reduce,2220.155821323395,14475.866227805614,128,6.588543891906738
profile_promoted_prefix_eviction_pressure_96req_wave16,promoted_prefix,prefix_eviction_pressure_96req_wave16,host,dsv4.prepare.prefill.attention_metadata,2172.346279025078,16856.52508959174,48,0.0
profile_control_serving_mixed,target07_control,serving_mixed_112req_wave16,host,dsv4.prepare.decode.attention_metadata,1976.1841278523207,11787.071883678436,3528,0.0
profile_promoted_serving_mixed_112req_wave16,promoted_prefix,serving_mixed_112req_wave16,cuda,dsv4.owner.moe.reduce_once_all_reduce,1633.5723038166761,7777.380869738758,5848,11.26876799762249
