kind,run,scenario,prefix_hit_requests,prefix_miss_requests,prefix_saved_prefill_tokens,prefix_evictions,prefix_evicted_tokens,retained_prefix_pages,retained_prefix_tokens,retained_memory_mib,swa_retained_mib,component_available_pages
macro,macro_promoted_decode_ladder_bs16_r01,decode_ladder_bs16,0,16,0,0,0,0,0,0.0,0.0,129
macro,macro_promoted_decode_ladder_bs16_r02,decode_ladder_bs16,0,16,0,0,0,0,0,0.0,0.0,129
macro,macro_promoted_decode_ladder_bs16_r03,decode_ladder_bs16,0,16,0,0,0,0,0,0.0,0.0,129
macro,macro_promoted_historical_4096_1024_bs4_r01,historical_4096_1024_bs4,0,4,0,2,9728,114,29184,2099.78759765625,1225.5,15
macro,macro_promoted_historical_4096_1024_bs4_r02,historical_4096_1024_bs4,0,4,0,2,9728,114,29184,2099.78759765625,1225.5,15
macro,macro_promoted_historical_4096_1024_bs4_r03,historical_4096_1024_bs4,0,4,0,2,9728,114,29184,2099.78759765625,1225.5,15
macro,macro_promoted_historical_4096_128_bs4_r01,historical_4096_128_bs4,0,4,0,1,4096,112,28672,2062.94921875,1204.0,17
macro,macro_promoted_historical_4096_128_bs4_r02,historical_4096_128_bs4,0,4,0,1,4096,112,28672,2062.94921875,1204.0,17
macro,macro_promoted_historical_4096_128_bs4_r03,historical_4096_128_bs4,0,4,0,1,4096,112,28672,2062.94921875,1204.0,17
macro,macro_promoted_prefix_eviction_pressure_96req_wave16_r01,prefix_eviction_pressure_96req_wave16,0,96,0,3,20480,112,28672,2062.94921875,1204.0,17
macro,macro_promoted_prefix_eviction_pressure_96req_wave16_r02,prefix_eviction_pressure_96req_wave16,0,96,0,3,20480,112,28672,2062.94921875,1204.0,17
macro,macro_promoted_prefix_eviction_pressure_96req_wave16_r03,prefix_eviction_pressure_96req_wave16,0,96,0,3,20480,112,28672,2062.94921875,1204.0,17
macro,macro_promoted_prefix_multi_112req_wave16_r01,prefix_multi_112req_wave16,96,16,49152,0,0,16,4096,294.70703125,172.0,113
macro,macro_promoted_prefix_multi_112req_wave16_r02,prefix_multi_112req_wave16,96,16,49152,0,0,16,4096,294.70703125,172.0,113
macro,macro_promoted_prefix_multi_112req_wave16_r03,prefix_multi_112req_wave16,96,16,49152,0,0,16,4096,294.70703125,172.0,113
macro,macro_promoted_serving_mixed_112req_wave16_r01,serving_mixed_112req_wave16,0,112,0,0,0,14,3584,257.86865234375,150.5,115
macro,macro_promoted_serving_mixed_112req_wave16_r02,serving_mixed_112req_wave16,0,112,0,0,0,14,3584,257.86865234375,150.5,115
macro,macro_promoted_serving_mixed_112req_wave16_r03,serving_mixed_112req_wave16,0,112,0,0,0,14,3584,257.86865234375,150.5,115
profile,profile_promoted_decode_ladder_bs16,decode_ladder_bs16,0,16,0,0,0,0,0,0.0,0.0,129
profile,profile_promoted_4096_128,historical_4096_128_bs4,0,4,0,0,0,64,16384,1178.828125,688.0,65
profile,profile_promoted_prefix_eviction_pressure_96req_wave16,prefix_eviction_pressure_96req_wave16,0,96,0,3,20480,112,28672,2062.94921875,1204.0,17
profile,profile_promoted_prefix_multi_112req_wave16,prefix_multi_112req_wave16,96,16,49152,0,0,16,4096,294.70703125,172.0,113
profile,profile_promoted_serving_mixed_112req_wave16,serving_mixed_112req_wave16,0,112,0,0,0,14,3584,257.86865234375,150.5,115
verify,verify_promoted_prefix_eviction,prefix_eviction_pressure_96req_wave16,0,96,0,3,20480,112,28672,2062.94921875,1204.0,17
verify,verify_promoted_serving_mixed,serving_mixed_112req_wave16,0,112,0,0,0,14,3584,257.86865234375,150.5,115
