variant_group,scenario,repeats,status,output_tok_s_mean,output_tok_s_stdev,output_tok_s_cv,ttft_ms_mean,tpot_ms_mean,prefill_tok_s,decode_tok_s,prefill_forward_s_mean,decode_prepare_s_mean,decode_forward_s_mean,replay,eager,prefix_saved_prefill_tokens,prefix_evictions
promoted_prefix,decode_ladder_bs16,3,pass,130.7604826043519,0.14412239888730402,0.001102186195835495,1452.4239928772051,30.57929263782367,1505.6940120822264,280.8228003838992,1.3515612185001373,0.15765043596426645,1.3664720027397077,63,0,0,0
promoted_prefix,historical_4096_1024_bs4,3,pass,137.16253775248933,0.19595791547468397,0.001428654782024311,5048.602985839049,24.251936929122603,3796.4622849481766,183.08055946697232,4.299821731944879,2.2244739265491567,22.297711692750454,1023,0,0,2
promoted_prefix,historical_4096_128_bs4,3,pass,62.89331650604807,0.1390739361005168,0.002211267330561951,5041.803849861026,24.393146070517265,3785.502700882075,182.64736282056893,4.299842802186807,0.2814439069479704,2.768439224610726,127,0,0,1
promoted_prefix,prefix_eviction_pressure_96req_wave16,3,pass,13.082659580029793,0.025002108417680597,0.0019110875938288124,2273.950953450468,171.6110926742355,4396.586732358342,532.0901526095487,10.817772491524616,0.14635865949094296,0.17139489452044168,6,0,0,3
promoted_prefix,prefix_multi_112req_wave16,3,pass,110.14167038530877,0.3680426575795273,0.0033415387318169692,854.956895733873,43.8182059878192,3352.250868579267,409.0475877788006,4.540031540518005,0.27790257210532826,1.474988021577398,49,0,49152,0
promoted_prefix,serving_mixed_112req_wave16,3,pass,163.39847150338042,0.5651347783862105,0.003458629528089061,796.746699849055,31.82817230685106,3648.5717838510122,270.1529514452296,4.783209844181935,1.091879177838564,9.762444363286098,441,0,0,0
target07_control,decode_ladder_bs16,3,pass,135.53534336972174,3.00613722544678,0.02217972929205965,1461.2713406483333,26.908593342174765,1474.1979765525546,288.6735828219969,1.3874144926667213,0.1295219138264656,1.329728877171874,63,0,0,0
target07_control,historical_4096_1024_bs4,3,pass,139.8415141160007,0.11425360749301498,0.0008170220997338448,5001.62292085588,23.74010253485211,3797.7410062005233,185.2776415362234,4.295542877788345,1.979318148146073,22.049778717880447,1023,0,0,0
target07_control,historical_4096_128_bs4,3,pass,63.77315591975327,0.09645132952657871,0.001512412677960377,5012.519934525092,23.74122229226305,3794.785152597478,185.50317592874273,4.291288863246639,0.2524587331960599,2.725789754341046,127,0,0,0
target07_control,prefix_eviction_pressure_96req_wave16,3,pass,15.026961066519698,0.06115244108588666,0.004069514841702442,2088.8871129395234,40.24005184570948,4644.840458989512,652.5008929202085,10.49949101296564,0.017501364772518475,0.14532775369783243,6,0,0,0
target07_control,prefix_multi_112req_wave16,3,pass,51.05073457615875,0.15883144483845868,0.0031112470007950616,2304.190411542853,28.948924105082238,4751.890759403342,662.8977338786826,13.525442141418656,0.13241369587679705,1.1798767000436783,49,0,0,0
target07_control,serving_mixed_112req_wave16,3,pass,178.30042963276864,0.17152750510014406,0.0009620139752519148,760.6073880479449,26.817801250778604,3657.0399642455645,289.93619471938126,4.766458126405875,0.9129527093221744,9.255212110156814,441,0,0,0
