mode,scenario,retained_prefix_pages,retained_prefix_tokens,live_full_swa_pages,live_full_swa_slots,retained_c4_slots,retained_c128_slots,retained_indexer_slots,retained_c4_state_slots,retained_c128_state_slots,retained_indexer_state_slots,retained_memory_gib,recovered_full_swa_pages_vs_phase1,recovered_full_swa_tokens_vs_phase1,recovered_full_swa_gib_vs_phase1
phase1_prefix_on,decode_ladder_bs16,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
route_b_graph,decode_ladder_bs16,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
phase1_prefix_on,serving_mixed_112req_wave16,14,3584,14,3584,896,28,896,112,1792,112,0.25182485580444336,0,0,0.0
route_b_graph,serving_mixed_112req_wave16,14,3584,14,3584,896,28,896,112,1792,112,0.25182485580444336,0,0,0.0
phase1_prefix_on,prefix_full_hit_257_bs4,15,3840,15,3840,960,30,960,120,1920,120,0.26981234550476074,0,0,0.0
route_b_graph,prefix_full_hit_257_bs4,15,3840,15,3840,960,30,960,120,1920,120,0.26981234550476074,0,0,0.0
phase1_prefix_on,prefix_full_hit_512_bs4,17,4352,17,4352,1088,34,1088,136,2176,136,0.3057873249053955,0,0,0.0
route_b_graph,prefix_full_hit_512_bs4,17,4352,16,4096,1088,34,1088,136,2176,136,0.3057873249053955,1,256,0.010498046875
phase1_prefix_on,prefix_full_hit_513_bs4,19,4864,19,4864,1216,38,1216,152,2432,152,0.3417623043060303,0,0,0.0
route_b_graph,prefix_full_hit_513_bs4,19,4864,17,4352,1216,38,1216,152,2432,152,0.3417623043060303,2,512,0.02099609375
phase1_prefix_on,prefix_full_hit_768_bs4,22,5632,22,5632,1408,44,1408,176,2816,176,0.3957247734069824,0,0,0.0
route_b_graph,prefix_full_hit_768_bs4,22,5632,18,4608,1408,44,1408,176,2816,176,0.3957247734069824,4,1024,0.0419921875
phase1_prefix_on,prefix_full_hit_769_bs4,25,6400,25,6400,1600,50,1600,200,3200,200,0.44968724250793457,0,0,0.0
route_b_graph,prefix_full_hit_769_bs4,25,6400,19,4864,1600,50,1600,200,3200,200,0.44968724250793457,6,1536,0.06298828125
phase1_prefix_on,prefix_full_hit_513_longout_bs4,27,6912,27,6912,1728,54,1728,216,3456,216,0.48566222190856934,0,0,0.0
route_b_graph,prefix_full_hit_513_longout_bs4,27,6912,20,5120,1728,54,1728,216,3456,216,0.48566222190856934,7,1792,0.073486328125
phase1_prefix_on,prefix_partial_hit_769_bs8,42,10752,42,10752,2688,84,2688,336,5376,336,0.7554745674133301,0,0,0.0
route_b_graph,prefix_partial_hit_769_bs8,42,10752,28,7168,2688,84,2688,336,5376,336,0.7554745674133301,14,3584,0.14697265625
phase1_prefix_on,prefix_mixed_hit_miss_bs16,66,16896,66,16896,4224,132,4224,528,8448,528,1.1871743202209473,0,0,0.0
route_b_graph,prefix_mixed_hit_miss_bs16,66,16896,36,9216,4224,132,4224,528,8448,528,1.1871743202209473,30,7680,0.31494140625
phase1_prefix_on,prefix_multi_112req_wave16,82,20992,82,20992,5248,164,5248,656,10496,656,1.4749741554260254,0,0,0.0
route_b_graph,prefix_multi_112req_wave16,82,20992,44,11264,5248,164,5248,656,10496,656,1.4749741554260254,38,9728,0.39892578125
phase1_prefix_on,prefix_eviction_pressure_96req_wave16,112,28672,112,28672,7168,224,7168,896,14336,896,2.014598846435547,0,0,0.0
route_b_graph,prefix_eviction_pressure_96req_wave16,112,28672,56,14336,7168,224,7168,896,14336,896,2.014598846435547,56,14336,0.587890625
