mode,scenario,enabled,requested_bs,captured_bs,exact_bs_only,replay_count,eager_decode_count,capture_compressed_locs_in_graph,component_guarded_hook
prefix_off,decode_ladder_bs16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,63,0,True,False
phase1_prefix_on,decode_ladder_bs16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,63,0,True,False
route_b_graph,decode_ladder_bs16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,63,0,False,True
prefix_off,serving_mixed_112req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,441,0,True,False
phase1_prefix_on,serving_mixed_112req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,441,0,True,False
route_b_graph,serving_mixed_112req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,441,0,False,True
prefix_off,prefix_full_hit_257_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
phase1_prefix_on,prefix_full_hit_257_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
route_b_graph,prefix_full_hit_257_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,False,True
prefix_off,prefix_full_hit_512_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
phase1_prefix_on,prefix_full_hit_512_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
route_b_graph,prefix_full_hit_512_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,False,True
prefix_off,prefix_full_hit_513_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
phase1_prefix_on,prefix_full_hit_513_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
route_b_graph,prefix_full_hit_513_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,False,True
prefix_off,prefix_full_hit_768_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
phase1_prefix_on,prefix_full_hit_768_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
route_b_graph,prefix_full_hit_768_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,False,True
prefix_off,prefix_full_hit_769_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
phase1_prefix_on,prefix_full_hit_769_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
route_b_graph,prefix_full_hit_769_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,False,True
prefix_off,prefix_full_hit_513_longout_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,62,0,True,False
phase1_prefix_on,prefix_full_hit_513_longout_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,62,0,True,False
route_b_graph,prefix_full_hit_513_longout_bs4,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,62,0,False,True
prefix_off,prefix_partial_hit_769_bs8,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,14,0,True,False
phase1_prefix_on,prefix_partial_hit_769_bs8,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,14,0,True,False
route_b_graph,prefix_partial_hit_769_bs8,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,14,0,False,True
prefix_off,prefix_mixed_hit_miss_bs16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,14,0,True,False
phase1_prefix_on,prefix_mixed_hit_miss_bs16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,14,0,True,False
route_b_graph,prefix_mixed_hit_miss_bs16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,14,0,False,True
prefix_off,prefix_multi_112req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,49,0,True,False
phase1_prefix_on,prefix_multi_112req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,49,0,True,False
route_b_graph,prefix_multi_112req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,49,0,False,True
prefix_off,prefix_eviction_pressure_96req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
phase1_prefix_on,prefix_eviction_pressure_96req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,True,False
route_b_graph,prefix_eviction_pressure_96req_wave16,True,"[1, 2, 4, 8, 16]","[16, 8, 4, 2, 1]",False,6,0,False,True
