page_size,prompt_len,phase1_hit_tokens,route_b_hit_tokens,shortened_tokens,route_b_live_full_pages,route_b_live_c4_slots,route_b_live_c128_slots,route_b_live_c4_indexer_slots,route_b_live_c4_state_slots,route_b_live_c128_state_slots,route_b_live_c4_indexer_state_slots
128,127,0,0,0,0,0,0,0,0,0,0
128,128,0,0,0,1,32,1,32,8,128,8
128,129,128,128,0,1,32,1,32,8,128,8
128,255,128,128,0,1,32,1,32,8,128,8
128,256,128,0,128,1,64,2,64,16,256,16
128,257,256,256,0,1,64,2,64,16,256,16
128,383,256,256,0,1,64,2,64,16,256,16
128,384,256,0,256,1,96,3,96,24,384,24
128,385,384,384,0,1,96,3,96,24,384,24
256,255,0,0,0,0,0,0,0,0,0,0
256,256,0,0,0,1,64,2,64,8,128,8
256,257,256,256,0,1,64,2,64,8,128,8
256,511,256,256,0,1,64,2,64,8,128,8
256,512,256,0,256,1,128,4,128,16,256,16
256,513,512,512,0,1,128,4,128,16,256,16
256,767,512,512,0,1,128,4,128,16,256,16
256,768,512,0,512,1,192,6,192,24,384,24
256,769,768,768,0,1,192,6,192,24,384,24
