field,stable,count
raw_out_loc,per-token;fallback,1679
seq_lens,per-token;fallback,1679
req_seq_lens,per-request;fallback,1679
extend_lens,per-request;fallback,1679
positions,per-token;fallback,1679
req_table_indices,per-token;fallback,1679
swa_topk_lengths,per-token;fallback,1679
c4_topk_lengths_raw,per-token;fallback,1679
c4_topk_lengths_clamp1,per-token;fallback,1679
c4_sparse_topk_lengths,per-token;fallback,1679
c128_topk_lengths_clamp1,per-token;fallback,1679
cu_seqlens_q,per-bucket;fallback,1679
page_table,per-request;fallback,1679
swa_page_indices,per-token;fallback,1679
c4_sparse_raw_indices,per-token;fallback,1679
c4_sparse_page_indices,per-token;fallback,1679
c4_sparse_full_indices,per-token;fallback,1679
c128_raw_indices,per-prefix-hit;fallback,1679
c128_page_indices,per-prefix-hit;fallback,1679
c128_full_indices,per-prefix-hit;fallback,1679
c4_page_table,per-request,1679
c128_page_table,per-request,1679
c4_indexer_page_table,per-request,1679
c4_out_loc,per-token;triton_component_table,1679
c128_out_loc,per-token;triton_component_table,1679
c4_indexer_out_loc,per-token;triton_component_table,1679
