scenario,phase1_saved_prefill_tokens,route_b_saved_prefill_tokens,actual_saved_prefill_token_delta,phase1_hit_requests,route_b_hit_requests,phase1_ttft_s,route_b_ttft_s,route_b_minus_phase1_ttft_s
decode_ladder_bs16,0,0,0,0,0,1.4332644641399384,,
serving_mixed_112req_wave16,0,0,0,0,0,0.6311363109520504,,
prefix_full_hit_257_bs4,768,0,-768,3,0,0.21674485132098198,,
prefix_full_hit_512_bs4,768,0,-768,3,0,0.3159757242538035,,
prefix_full_hit_513_bs4,1536,0,-1536,3,0,0.20309977512806654,,
prefix_full_hit_768_bs4,1536,0,-1536,3,0,0.31240163231268525,,
prefix_full_hit_769_bs4,2304,0,-2304,3,0,0.2172610298730433,,
prefix_full_hit_513_longout_bs4,1536,0,-1536,3,0,0.19963575573638082,,
prefix_partial_hit_769_bs8,1792,0,-1792,7,0,0.929598294198513,,
prefix_mixed_hit_miss_bs16,6144,0,-6144,8,0,1.3191320422338322,,
prefix_multi_112req_wave16,49152,0,-49152,96,0,0.6708057411015034,,
prefix_eviction_pressure_96req_wave16,0,0,0,0,0,1.928159976998965,,
