mode,counter,field,stable,value
phase1 prefix on,dsv4.metadata_build.calls,c128_full_indices,per-prefix-hit,441
phase1 prefix on,dsv4.metadata_build.calls,c128_page_indices,per-prefix-hit,441
phase1 prefix on,dsv4.metadata_build.calls,c128_raw_indices,per-prefix-hit,441
phase1 prefix on,dsv4.metadata_build.calls,c128_topk_lengths_clamp1,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,c4_indexer_out_loc,per-token,105
phase1 prefix on,dsv4.metadata_build.calls,c4_out_loc,per-token,105
phase1 prefix on,dsv4.metadata_build.calls,c4_sparse_full_indices,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,c4_sparse_page_indices,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,c4_sparse_raw_indices,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,c4_sparse_topk_lengths,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,c4_topk_lengths_clamp1,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,c4_topk_lengths_raw,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,cu_seqlens_q,per-bucket,441
phase1 prefix on,dsv4.metadata_build.calls,extend_lens,per-request,441
phase1 prefix on,dsv4.metadata_build.calls,page_table,per-request,441
phase1 prefix on,dsv4.metadata_build.calls,positions,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,raw_out_loc,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,req_seq_lens,per-request,441
phase1 prefix on,dsv4.metadata_build.calls,req_table_indices,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,seq_lens,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,swa_page_indices,per-token,441
phase1 prefix on,dsv4.metadata_build.calls,swa_topk_lengths,per-token,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c128_full_indices,per-prefix-hit;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c128_page_indices,per-prefix-hit;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c128_raw_indices,per-prefix-hit;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c128_topk_lengths_clamp1,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c4_sparse_full_indices,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c4_sparse_page_indices,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c4_sparse_raw_indices,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c4_sparse_topk_lengths,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c4_topk_lengths_clamp1,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,c4_topk_lengths_raw,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,cu_seqlens_q,per-bucket;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,extend_lens,per-request;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,page_table,per-request;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,positions,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,raw_out_loc,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,req_seq_lens,per-request;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,req_table_indices,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,seq_lens,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,swa_page_indices,per-token;fallback,441
phase1 prefix on,dsv4.replay_metadata_copy.calls,swa_topk_lengths,per-token;fallback,441
phase1 prefix on,dsv4.metadata_build.bytes,c128_full_indices,per-prefix-hit,688128
phase1 prefix on,dsv4.metadata_build.bytes,c128_page_indices,per-prefix-hit,688128
phase1 prefix on,dsv4.metadata_build.bytes,c128_raw_indices,per-prefix-hit,688128
phase1 prefix on,dsv4.metadata_build.bytes,c128_topk_lengths_clamp1,per-token,10752
phase1 prefix on,dsv4.metadata_build.bytes,c4_indexer_out_loc,per-token,4704
phase1 prefix on,dsv4.metadata_build.bytes,c4_out_loc,per-token,4704
phase1 prefix on,dsv4.metadata_build.bytes,c4_sparse_full_indices,per-token,5505024
phase1 prefix on,dsv4.metadata_build.bytes,c4_sparse_page_indices,per-token,5505024
phase1 prefix on,dsv4.metadata_build.bytes,c4_sparse_raw_indices,per-token,5505024
phase1 prefix on,dsv4.metadata_build.bytes,c4_sparse_topk_lengths,per-token,10752
phase1 prefix on,dsv4.metadata_build.bytes,c4_topk_lengths_clamp1,per-token,10752
phase1 prefix on,dsv4.metadata_build.bytes,c4_topk_lengths_raw,per-token,10752
phase1 prefix on,dsv4.metadata_build.bytes,cu_seqlens_q,per-bucket,25032
phase1 prefix on,dsv4.metadata_build.bytes,extend_lens,per-request,10752
phase1 prefix on,dsv4.metadata_build.bytes,page_table,per-request,21056
phase1 prefix on,dsv4.metadata_build.bytes,positions,per-token,10752
phase1 prefix on,dsv4.metadata_build.bytes,raw_out_loc,per-token,10752
phase1 prefix on,dsv4.metadata_build.bytes,req_seq_lens,per-request,10752
